"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-13","0.08","64","73","59"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-14","0.08","62","69","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-15","0.04","62","66","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-16","0.04","65","72","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-17","0.02","66","72","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-18","0.01","63","71","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-19","0.00","63","71","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-20","0.08","63","72","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-21","0.00","61","76","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-22",,"62","76","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-23","0.08","63","73","59"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-24","0.00","65","72",
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-25",,"63","73","45"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-26",,"63","77",
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-27",,"65","77","49"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-28",,"65","76","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-29",,"64","76","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-04-30",,"65","75","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-01","0.01","66","74","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-02","0.00","64","75","53"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-03","0.00","68","78","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-04",,"72","78","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-05",,"67","79","53"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-06","0.47","64","79","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-07","1.02","63","75","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-08","0.00","63","69","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-09","0.00","63","73","53"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-10","0.01","65","78","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-11","0.39","66","78","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-12","0.20","64","74","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-13","0.02","61","73","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-14","0.39","60","68","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-15","0.16","65","70","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-16","0.12","64","74","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-17","0.03","64","74","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-18","0.16","63","73","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-19","0.01","63","73","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-20","0.02","62","73","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-21","0.20","63","68","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-22","0.00","62",,"49"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-23",,"62","72","59"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-24",,"64","72","53"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-25","0.00","65","74","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-26","0.04","66","75","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-27","0.00","66","75","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-28",,"67","90",
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-30","0.12","62","72","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-05-31","1.54","60","73","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-02","0.00","63","74","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-03","0.04","62","70","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-04","0.28","62","67","59"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-05","0.08","59","65","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-06","0.00","61","65",
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-07","0.04","61","67","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-08","0.16","61","67","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-09","0.24","60","65","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-10","0.47","59","63","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-11","0.28","60","64","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-13","0.08","62","69","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-14","0.02","63","69","58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-16",,"61","67","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-21","0.12","61","66","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-22","0.00","61","68","59"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-23","0.01","63","70","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-25",,"65","71","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-26",,"62","71","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-27",,"64","71","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-28",,"64",,"58"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-29","0.01","63","75","50"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-06-30","0.20","60","72","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-01","0.31","60","71",
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-02","0.00","64","72","50"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-03",,"62","72","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-04",,"65","72","53"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-05",,"62","72","50"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-06","0.08","58","68","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-07","0.71","59",,"54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-08","0.59","58","65","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-09","0.94","58","61","52"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-10","0.16","58","61","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-11","0.00","58","63","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-12","0.08","61","67","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-13","0.12","60","67","53"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-14","0.12","59","65","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-15","0.08","59","65","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-16","0.02","58","62","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-17","0.00","59","63","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-18",,"59","63","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-19","0.01","61","67","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-21",,"62","69","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-24","0.03","62","73","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-25","0.08","60","67","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-26","0.02","58","65","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-27","0.00","62","68","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-28",,"60","68","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-29",,"59","64",
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-07-31","0.08","58","61","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-01","0.35","58","65","53"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-02","0.04","60","65","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-03","0.01","60","63","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-04","0.08","61","65","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-05","0.00","61","65","59"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-06","0.24","59","64","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-07","0.24","61",,"54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-10","0.08","62","75","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-11","0.04","63","72","52"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-12","0.00","63","72","50"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-13","0.02","63","72","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-14","0.04","62","72","57"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-15","0.08","61","68","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-16","0.00","62","68","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-17","0.02","59","68","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-18","0.16","58","63","52"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-20","0.02","57","66","49"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-21","0.08","59","63","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-26","0.02","61","68","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-27","0.03","62","67","53"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-28","0.02","60","67","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-29","0.03","60",,"55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-30","0.00","62","71","53"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-08-31",,"62","71","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-09-02","0.03","62","74","47"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-09-03","0.00","61","74","43"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-09-05","0.01","65","84","51"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-09-06","0.00","63","71","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-09-07",,"62","71","56"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-09-08",,"62","66","59"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-09-11",,"63","73",
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-09-12",,"64","75","47"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-09-15","0.00","61","72","54"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-09-16","0.63","61","65","55"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-09-18",,"66","73","59"
"ECM00084270","LOJA LA ARGELIA, EC","-4.033","-79.2","2160.0","2013-09-19","0.28","58","73","55"
