"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-01","0.00","57","67","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-02","0.94","55","67","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-03","1.46","56","68","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-05","0.39","54","68","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-06","0.08","52","64","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-07","0.24","56","64","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-08","0.16","56","67","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-09","0.12","54","67","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-10","0.08","55","66","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-11","0.28","54","67","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-12","0.00","56","67",
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-13","0.12","57","67","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-14","0.12","55","67","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-15","0.31","56","64","48"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-16","0.02","54","64","47"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-17","0.63","56","67","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-18","0.03","56","67","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-19","0.04","56","66","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-20","0.12","56","67","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-21","0.08","54","67","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-22","0.75","54","65","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-23","0.08","54","65","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-24","0.20","56","65","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-25","0.24","57","67","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-26","0.51","53","67","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-27","0.28","54","66","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-28","0.08","54","66","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-30","0.55","55","63","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-05-31","0.08","51","67","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-02","0.28","56",,"39"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-03","0.00","56","69","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-04",,"56","66","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-05",,"56","65","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-06",,"56","67","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-07",,"56","67","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-06-08",,"58","68","45"
